,start_dt,end_dt,total_integrated_load_MW,solar_generation_MW,wind_generation_MW
0,2017-07-01 07:00:00+00:00,2017-07-01 08:00:00+00:00,25703,-31.094589999999997,2881.9831999999997
1,2017-07-01 08:00:00+00:00,2017-07-01 09:00:00+00:00,24043,-30.83811,2765.9022900000004
2,2017-07-01 09:00:00+00:00,2017-07-01 10:00:00+00:00,22988,-30.480829999999997,2791.72076
3,2017-07-01 10:00:00+00:00,2017-07-01 11:00:00+00:00,22423,-31.988179999999996,2549.59684
4,2017-07-01 11:00:00+00:00,2017-07-01 12:00:00+00:00,22235,-32.676300000000005,2502.67552
5,2017-07-01 12:00:00+00:00,2017-07-01 13:00:00+00:00,22541,-23.04714,2528.82382
6,2017-07-01 13:00:00+00:00,2017-07-01 14:00:00+00:00,22804,1181.85265,2340.58393
7,2017-07-01 14:00:00+00:00,2017-07-01 15:00:00+00:00,23370,4515.71668,2009.5166399999998
8,2017-07-01 15:00:00+00:00,2017-07-01 16:00:00+00:00,24167,6923.54032,1633.8334
9,2017-07-01 16:00:00+00:00,2017-07-01 17:00:00+00:00,24947,7920.32245,1246.0732200000002
10,2017-07-01 17:00:00+00:00,2017-07-01 18:00:00+00:00,25488,8458.399949999999,900.64484
11,2017-07-01 18:00:00+00:00,2017-07-01 19:00:00+00:00,26024,8760.20866,709.93274
12,2017-07-01 19:00:00+00:00,2017-07-01 20:00:00+00:00,26572,8823.77065,638.48341
13,2017-07-01 20:00:00+00:00,2017-07-01 21:00:00+00:00,27278,8811.84016,666.74812
14,2017-07-01 21:00:00+00:00,2017-07-01 22:00:00+00:00,28248,8762.64123,798.34303
15,2017-07-01 22:00:00+00:00,2017-07-01 23:00:00+00:00,29198,8458.58594,1272.58653
16,2017-07-01 23:00:00+00:00,2017-07-02 00:00:00+00:00,30236,7849.492470000001,1739.57087
17,2017-07-02 00:00:00+00:00,2017-07-02 01:00:00+00:00,31129,6683.78399,2010.01994
18,2017-07-02 01:00:00+00:00,2017-07-02 02:00:00+00:00,31455,4099.4895,2211.57405
19,2017-07-02 02:00:00+00:00,2017-07-02 03:00:00+00:00,31110,955.25392,2239.5284899999997
20,2017-07-02 03:00:00+00:00,2017-07-02 04:00:00+00:00,30799,-22.52205,2402.7687100000003
21,2017-07-02 04:00:00+00:00,2017-07-02 05:00:00+00:00,30198,-32.88928,2565.07352
22,2017-07-02 05:00:00+00:00,2017-07-02 06:00:00+00:00,28413,-32.04149,2519.4098599999998
23,2017-07-02 06:00:00+00:00,2017-07-02 07:00:00+00:00,26362,-32.31058,2421.4712
24,2017-07-02 07:00:00+00:00,2017-07-02 08:00:00+00:00,24632,-31.92914,2302.8466
25,2017-07-02 08:00:00+00:00,2017-07-02 09:00:00+00:00,23290,-31.251469999999998,2129.78866
26,2017-07-02 09:00:00+00:00,2017-07-02 10:00:00+00:00,22439,-31.25181,1886.9773500000001
27,2017-07-02 10:00:00+00:00,2017-07-02 11:00:00+00:00,21829,-32.47235,1780.78436
28,2017-07-02 11:00:00+00:00,2017-07-02 12:00:00+00:00,21627,-33.93059,1597.42175
29,2017-07-02 12:00:00+00:00,2017-07-02 13:00:00+00:00,21682,-23.021599999999996,1446.37327
30,2017-07-02 13:00:00+00:00,2017-07-02 14:00:00+00:00,21431,1147.87427,1225.75043
31,2017-07-02 14:00:00+00:00,2017-07-02 15:00:00+00:00,21774,4470.79478,974.7309399999999
32,2017-07-02 15:00:00+00:00,2017-07-02 16:00:00+00:00,22536,6911.627329999999,707.04645
33,2017-07-02 16:00:00+00:00,2017-07-02 17:00:00+00:00,23206,7921.61385,600.03696
34,2017-07-02 17:00:00+00:00,2017-07-02 18:00:00+00:00,23850,8473.23153,574.4763399999999
35,2017-07-02 18:00:00+00:00,2017-07-02 19:00:00+00:00,24707,8776.07976,606.50589
36,2017-07-02 19:00:00+00:00,2017-07-02 20:00:00+00:00,25656,8776.50261,704.5830400000001
37,2017-07-02 20:00:00+00:00,2017-07-02 21:00:00+00:00,26757,8740.20128,840.60203
38,2017-07-02 21:00:00+00:00,2017-07-02 22:00:00+00:00,27654,8647.92539,1065.16166
39,2017-07-02 22:00:00+00:00,2017-07-02 23:00:00+00:00,29044,8133.2257899999995,1426.56877
40,2017-07-02 23:00:00+00:00,2017-07-03 00:00:00+00:00,30510,7330.41538,1513.5391599999998
41,2017-07-03 00:00:00+00:00,2017-07-03 01:00:00+00:00,31737,6021.407330000001,1620.0605099999998
42,2017-07-03 01:00:00+00:00,2017-07-03 02:00:00+00:00,32388,3727.33426,1755.1747300000002
43,2017-07-03 02:00:00+00:00,2017-07-03 03:00:00+00:00,32025,899.5007099999999,1760.3779
44,2017-07-03 03:00:00+00:00,2017-07-03 04:00:00+00:00,31533,-21.429650000000002,1785.24868
45,2017-07-03 04:00:00+00:00,2017-07-03 05:00:00+00:00,30793,-32.89365,1792.8370599999998
46,2017-07-03 05:00:00+00:00,2017-07-03 06:00:00+00:00,28717,-32.06386,1812.00144
47,2017-07-03 06:00:00+00:00,2017-07-03 07:00:00+00:00,26209,-32.11515,1863.58456
48,2017-07-03 07:00:00+00:00,2017-07-03 08:00:00+00:00,24436,-31.585060000000002,1875.0990699999998
49,2017-07-03 08:00:00+00:00,2017-07-03 09:00:00+00:00,23110,-31.2211,1535.7951899999998
