INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,28934.49,DAM,1
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25567.82,DAM,1
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23722.8,DAM,1
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25133.95,DAM,1
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26435.84,DAM,1
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,28551.45,DAM,1
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,29270.2,DAM,1
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27493.8,DAM,1
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4512.18,DAM,2
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4173.24,DAM,2
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3944.03,DAM,2
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4418.28,DAM,2
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4542.34,DAM,2
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4228.09,DAM,2
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4053.81,DAM,2
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4297.06,DAM,2
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6082.14,DAM,3
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5818.54,DAM,3
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5642.73,DAM,3
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6245.58,DAM,3
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5316.2,DAM,3
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5474.82,DAM,3
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5945.52,DAM,3
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6228.27,DAM,3
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2789.47,DAM,4
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3144.59,DAM,4
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3028.74,DAM,4
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2996.13,DAM,4
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2685.74,DAM,4
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3224.52,DAM,4
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2902.94,DAM,4
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2607.67,DAM,4
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,13244.18,DAM,5
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11900.43,DAM,5
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10770.45,DAM,5
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,13431.53,DAM,5
