start_dt,end_dt,total_integrated_load_MW,solar_generation_MW,wind_generation_MW,covariate_x,ramp_z
2017-07-01 07:00:00+00:00,2017-07-01 08:00:00+00:00,25703,-31.094590000000004,2881.9832,"[26, 5, 8]",22852.111390000002
2017-07-01 08:00:00+00:00,2017-07-01 09:00:00+00:00,24043,-30.838109999999997,2765.9022900000004,"[26, 5, 9]",21307.93582
2017-07-01 09:00:00+00:00,2017-07-01 10:00:00+00:00,22988,-30.48083,2791.72076,"[26, 5, 10]",20226.76007
2017-07-01 10:00:00+00:00,2017-07-01 11:00:00+00:00,22423,-31.98818,2549.5968399999997,"[26, 5, 11]",19905.391340000002
2017-07-01 11:00:00+00:00,2017-07-01 12:00:00+00:00,22235,-32.676300000000005,2502.67552,"[26, 5, 12]",19765.00078
2017-07-01 12:00:00+00:00,2017-07-01 13:00:00+00:00,22541,-23.04714,2528.82382,"[26, 5, 13]",20035.223319999997
2017-07-01 13:00:00+00:00,2017-07-01 14:00:00+00:00,22804,1181.85265,2340.5839300000002,"[26, 5, 14]",19281.56342
2017-07-01 14:00:00+00:00,2017-07-01 15:00:00+00:00,23370,4515.7166799999995,2009.51664,"[26, 5, 15]",16844.76668
2017-07-01 15:00:00+00:00,2017-07-01 16:00:00+00:00,24167,6923.54032,1633.8334,"[26, 5, 16]",15609.62628
2017-07-01 16:00:00+00:00,2017-07-01 17:00:00+00:00,24947,7920.32245,1246.0732200000002,"[26, 5, 17]",15780.60433
2017-07-01 17:00:00+00:00,2017-07-01 18:00:00+00:00,25488,8458.399949999999,900.64484,"[26, 5, 18]",16128.95521
2017-07-01 18:00:00+00:00,2017-07-01 19:00:00+00:00,26024,8760.20866,709.9327400000003,"[26, 5, 19]",16553.8586
2017-07-01 19:00:00+00:00,2017-07-01 20:00:00+00:00,26572,8823.77065,638.4834099999998,"[26, 5, 20]",17109.74594
2017-07-01 20:00:00+00:00,2017-07-01 21:00:00+00:00,27278,8811.84016,666.74812,"[26, 5, 21]",17799.41172
2017-07-01 21:00:00+00:00,2017-07-01 22:00:00+00:00,28248,8762.64123,798.34303,"[26, 5, 22]",18687.01574
2017-07-01 22:00:00+00:00,2017-07-01 23:00:00+00:00,29198,8458.58594,1272.58653,"[26, 5, 23]",19466.82753
2017-07-01 23:00:00+00:00,2017-07-02 00:00:00+00:00,30236,7849.492470000001,1739.57087,"[26, 6, 0]",20646.93666
2017-07-02 00:00:00+00:00,2017-07-02 01:00:00+00:00,31129,6683.78399,2010.01994,"[26, 6, 1]",22435.19607
2017-07-02 01:00:00+00:00,2017-07-02 02:00:00+00:00,31455,4099.4895,2211.57405,"[26, 6, 2]",25143.93645
2017-07-02 02:00:00+00:00,2017-07-02 03:00:00+00:00,31110,955.2539199999999,2239.52849,"[26, 6, 3]",27915.21759
2017-07-02 03:00:00+00:00,2017-07-02 04:00:00+00:00,30799,-22.52205,2402.7687100000007,"[26, 6, 4]",28418.75334
2017-07-02 04:00:00+00:00,2017-07-02 05:00:00+00:00,30198,-32.88928,2565.07352,"[26, 6, 5]",27665.815759999998
2017-07-02 05:00:00+00:00,2017-07-02 06:00:00+00:00,28413,-32.04149,2519.40986,"[26, 6, 6]",25925.63163
2017-07-02 06:00:00+00:00,2017-07-02 07:00:00+00:00,26362,-32.31058,2421.4712,"[26, 6, 7]",23972.83938
2017-07-02 07:00:00+00:00,2017-07-02 08:00:00+00:00,24632,-31.929140000000004,2302.8466,"[26, 6, 8]",22361.08254
2017-07-02 08:00:00+00:00,2017-07-02 09:00:00+00:00,23290,-31.25147,2129.78866,"[26, 6, 9]",21191.462809999997
2017-07-02 09:00:00+00:00,2017-07-02 10:00:00+00:00,22439,-31.25181,1886.97735,"[26, 6, 10]",20583.27446
2017-07-02 10:00:00+00:00,2017-07-02 11:00:00+00:00,21829,-32.47235,1780.78436,"[26, 6, 11]",20080.68799
2017-07-02 11:00:00+00:00,2017-07-02 12:00:00+00:00,21627,-33.93059,1597.42175,"[26, 6, 12]",20063.50884
2017-07-02 12:00:00+00:00,2017-07-02 13:00:00+00:00,21682,-23.0216,1446.3732699999994,"[26, 6, 13]",20258.64833
2017-07-02 13:00:00+00:00,2017-07-02 14:00:00+00:00,21431,1147.87427,1225.75043,"[26, 6, 14]",19057.3753
2017-07-02 14:00:00+00:00,2017-07-02 15:00:00+00:00,21774,4470.794779999998,974.73094,"[26, 6, 15]",16328.474280000004
2017-07-02 15:00:00+00:00,2017-07-02 16:00:00+00:00,22536,6911.6273299999975,707.04645,"[26, 6, 16]",14917.326220000003
